"filename", "language", "JSON", "JSON with Comments", "TypeScript React", "JavaScript", "TypeScript", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\AddNewEmployeeForm.tsx", "TypeScript React", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\dashboard\Dashboard.tsx", "TypeScript React", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\Dashboard.tsx", "TypeScript React", 0, 0, 11, 0, 0, 0, 2, 13
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\AsignedTasks\AsignedTasks.tsx", "TypeScript React", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\__tests__\Projects.test.tsx", "TypeScript React", 0, 0, 59, 0, 0, 0, 2, 61
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectAccess.tsx", "TypeScript React", 0, 0, 33, 0, 0, 0, 3, 36
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectFilters.tsx", "TypeScript React", 0, 0, 33, 0, 0, 0, 0, 33
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectSettings.tsx", "TypeScript React", 0, 0, 30, 0, 0, 0, 1, 31
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectTabs.tsx", "TypeScript React", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\Tasks.tsx", "TypeScript React", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\Timer.tsx", "TypeScript React", 0, 0, 18, 0, 0, 0, 3, 21
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\__tests_\StopWatch.test.tsx", "TypeScript React", 0, 0, 23, 0, 0, 1, 4, 28
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\routes\MainRouter.tsx", "TypeScript React", 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\admin.service.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 6, 41
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\setupTests.js", "JavaScript", 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\clients\actions.ts", "TypeScript", 0, 0, 0, 0, 44, 0, 4, 48
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\clients\clientSlice.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 2, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\clients\reducer.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 4, 27
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\clients\types.ts", "TypeScript", 0, 0, 0, 0, 14, 1, 4, 19
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\projects\types.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\settings\reducer.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 3, 14
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\settings\settingsSlice.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 4, 16
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\settings\types.ts", "TypeScript", 0, 0, 0, 0, 6, 1, 1, 8
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\store.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\tasks\actions.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\tasks\reducer.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\tasks\taskSlice.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 2, 5
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\tasks\types.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\types\Project.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\utils\timer.ts", "TypeScript", 0, 0, 0, 0, 4, 0, -1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\utils\utils.test.ts", "TypeScript", 0, 0, 0, 0, 57, 1, 2, 60
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\tsconfig.json", "JSON with Comments", 0, 1, 0, 0, 0, 0, 0, 1
"Total", "-", 14772, 1, 878, 18, 401, 35, 107, 16212
