"filename", "language", "JSON", "JSON with Comments", "TypeScript React", "Markdown", "HTML", "JavaScript", "TypeScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\DialogWithClose.tsx", "TypeScript React", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\EditTaskModal.tsx", "TypeScript React", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 8, 98
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\EditTimesModal.tsx", "TypeScript React", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 6, 100
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\EditUserModal.tsx", "TypeScript React", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\ImportTaskModal.tsx", "TypeScript React", 0, 0, 84, 0, 0, 0, 0, 0, 0, 3, 11, 98
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\userInsights\lastMonths\WorkingStatistics.tsx", "TypeScript React", 0, 0, 50, 0, 0, 0, 0, 0, 0, 1, 5, 56
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\userInsights\topProjects\TopProjects.tsx", "TypeScript React", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 5, 70
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\api.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 5, 55
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\languages.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\other.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\routes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\tokenStorage.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 8, 35
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\hooks\use-admin.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\hooks\use-stopwatch.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 6, 30
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\i18n.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\index.tsx", "TypeScript React", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\locales\EN\translations.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\locales\LT\translations.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\clients\Clients.tsx", "TypeScript React", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 3, 55
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\clients\__tests__\Clients.test.tsx", "TypeScript React", 0, 0, 81, 0, 0, 0, 0, 0, 0, 3, 6, 90
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\clients\components\CreateClientModal.tsx", "TypeScript React", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\clients\components\DeleteClient.tsx", "TypeScript React", 0, 0, 31, 0, 0, 0, 0, 0, 0, 13, 2, 46
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\clients\components\EditClientModal.tsx", "TypeScript React", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 4, 62
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\Reports.tsx", "TypeScript React", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\__tests__\Reports.test.tsx", "TypeScript React", 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 1, 16
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\__tests__\SystemReport.test.tsx", "TypeScript React", 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 1, 17
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\components\SelectReport.tsx", "TypeScript React", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\components\pages\systemReport\SystemReport.tsx", "TypeScript React", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\components\pages\systemReport\components\UserItem\UserItem.tsx", "TypeScript React", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\components\pages\systemReport\components\UserItem\components\UserStatistics.tsx", "TypeScript React", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\components\pages\systemReport\components\UsersList\UsersList.tsx", "TypeScript React", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\components\pages\timerReport\TimerReport.tsx", "TypeScript React", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 2, 43
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\components\pages\timerReport\components\Filters.tsx", "TypeScript React", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 5, 95
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\Tasks.tsx", "TypeScript React", 0, 0, 86, 0, 0, 0, 0, 0, 0, 1, 4, 91
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\__tests__\Tasks.test.tsx", "TypeScript React", 0, 0, 115, 0, 0, 0, 0, 0, 0, 4, 3, 122
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\Assignee.tsx", "TypeScript React", 0, 0, 59, 0, 0, 0, 0, 0, 0, 1, 9, 69
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\Filters.tsx", "TypeScript React", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 13, 99
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\TaskName.tsx", "TypeScript React", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\TaskStatus.tsx", "TypeScript React", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\new-task\CreateNewTaskModal.tsx", "TypeScript React", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tasks\components\new-task\NewTaskForm.tsx", "TypeScript React", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 8, 123
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\Team.tsx", "TypeScript React", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 8, 99
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\AddNewEmployee.tsx", "TypeScript React", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\AddNewEmployeeForm.tsx", "TypeScript React", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 6, 81
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\RemoveEmployee.tsx", "TypeScript React", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\TeamMemberName.tsx", "TypeScript React", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\TeamMemberRole.tsx", "TypeScript React", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\dashboard\Dashboard.tsx", "TypeScript React", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\dashboard\widgets\Realtime.tsx", "TypeScript React", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\dashboard\widgets\RealtimeUser.tsx", "TypeScript React", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 4, 58
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\teamInsigths\TeamMemberInsight.tsx", "TypeScript React", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 5
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\Dashboard.tsx", "TypeScript React", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 4, 42
