"filename", "language", "JSON with Comments", "JSON", "Markdown", "TypeScript", "HTML", "TypeScript React", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\routes.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\tokenStorage.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\hooks\use-stopwatch.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\reports\Reports.tsx", "TypeScript React", 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\Team.tsx", "TypeScript React", 0, 0, 0, 0, 0, 82, 0, 0, 0, 8, 90
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\AddNewEmployee.tsx", "TypeScript React", 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\AddNewEmployeeForm.tsx", "TypeScript React", 0, 0, 0, 0, 0, 74, 0, 0, 0, 6, 80
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\TeamMemberName.tsx", "TypeScript React", 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\TeamMemberRole.tsx", "TypeScript React", 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\dashboard\Dashboard.tsx", "TypeScript React", 0, 0, 0, 0, 0, 24, 0, 0, 0, 3, 27
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\dashboard\widgets\Realtime.tsx", "TypeScript React", 0, 0, 0, 0, 0, 20, 0, 0, 0, 2, 22
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\dashboard\widgets\RealtimeUser.tsx", "TypeScript React", 0, 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\teamInsigths\TeamMemberInsight.tsx", "TypeScript React", 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 5
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\Dashboard.tsx", "TypeScript React", 0, 0, 0, 0, 0, 27, 0, 0, 0, 2, 29
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\AsignedTasks\AsignedTasks.tsx", "TypeScript React", 0, 0, 0, 0, 0, 25, 0, 0, 0, 2, 27
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\AsignedTasks\components\TasksList.tsx", "TypeScript React", 0, 0, 0, 0, 0, 35, 0, 0, 0, 5, 40
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\Statistics\components\BasicInfo.tsx", "TypeScript React", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\Statistics\components\TimeInfo.tsx", "TypeScript React", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\Statistics\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\Projects.tsx", "TypeScript React", 0, 0, 0, 0, 0, 94, 0, 0, 0, 10, 104
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\AddUsersToProjectForm.tsx", "TypeScript React", 0, 0, 0, 0, 0, 106, 0, 0, 0, 9, 115
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\AddUsersToProjectModal.tsx", "TypeScript React", 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\CreateProjectForm.tsx", "TypeScript React", 0, 0, 0, 0, 0, 83, 0, 0, 0, 6, 89
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\CreateProjectModal.tsx", "TypeScript React", 0, 0, 0, 0, 0, 20, 0, 0, 0, 2, 22
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\InvitedUsers.tsx", "TypeScript React", 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\InvitedUsersTable.tsx", "TypeScript React", 0, 0, 0, 0, 0, 107, 0, 0, 0, 10, 117
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\Project.tsx", "TypeScript React", 0, 0, 0, 0, 0, 46, 0, 0, 0, 6, 52
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectAccess.tsx", "TypeScript React", 0, 0, 0, 0, 0, 63, 0, 0, 0, 5, 68
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectFilters.tsx", "TypeScript React", 0, 0, 0, 0, 0, 68, 0, 0, 0, 7, 75
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectMenu.tsx", "TypeScript React", 0, 0, 0, 0, 0, 33, 0, 0, 0, 5, 38
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectName.tsx", "TypeScript React", 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectTabs.tsx", "TypeScript React", 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\TotalTacked.tsx", "TypeScript React", 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\statistics\ProjectStatistics.tsx", "TypeScript React", 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\statistics\components\ProjectWidget.tsx", "TypeScript React", 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\CreateTaskForm.tsx", "TypeScript React", 0, 0, 0, 0, 0, 78, 0, 0, 0, 6, 84
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\CreateTaskModal.tsx", "TypeScript React", 0, 0, 0, 0, 0, 34, 0, 0, 0, 2, 36
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\TaskTime.tsx", "TypeScript React", 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\Tasks.tsx", "TypeScript React", 0, 0, 0, 0, 0, 35, 0, 0, 0, 4, 39
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\TasksTable.tsx", "TypeScript React", 0, 0, 0, 0, 0, 63, 0, 0, 0, 6, 69
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\Statistics.tsx", "TypeScript React", 0, 0, 0, 0, 0, 38, 0, 0, 0, 4, 42
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\StopWatch.tsx", "TypeScript React", 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 24
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\Timer.tsx", "TypeScript React", 0, 0, 0, 0, 0, 120, 0, 0, 2, 12, 134
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\components\AccordionItem.tsx", "TypeScript React", 0, 0, 0, 0, 0, 31, 0, 0, 0, 2, 33
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\components\DayEntry.tsx", "TypeScript React", 0, 0, 0, 0, 0, 83, 0, 0, 0, 13, 96
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\user\Login.tsx", "TypeScript React", 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\user\profile\Profile.tsx", "TypeScript React", 0, 0, 0, 0, 0, 34, 0, 0, 0, 2, 36
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\user\verify-email\MailVerification.tsx", "TypeScript React", 0, 0, 0, 0, 0, 40, 0, 0, 0, 7, 47
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\routes\AdminRoute.tsx", "TypeScript React", 0, 0, 0, 0, 0, 37, 0, 0, 0, 7, 44
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\routes\MainRouter.tsx", "TypeScript React", 0, 0, 0, 0, 0, 73, 0, 0, 0, 4, 77
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\routes\PrivateRoute.tsx", "TypeScript React", 0, 0, 0, 0, 0, 33, 0, 0, 0, 6, 39
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\routes\PublicRoute.tsx", "TypeScript React", 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\admin.service.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\auth.service.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 8, 40
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\middleware.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 1, 6, 42
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\notification.service.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 1, 4, 42
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\sse.service.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\tracking.service.ts", "TypeScript", 0, 0, 0, 80, 0, 0, 0, 0, 0, 16, 96
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\modals\modalSlice.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\modals\reducer.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 2, 39
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\projects\actions.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 6, 42
